"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"84117",2024-02-22 23:21:56,NA,NA,NA,NA,NA,0,NA,0.16,NA,NA
"84118",2024-02-22 23:21:57,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"84119",2024-02-22 23:21:58,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"84160",2024-02-22 23:22:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"84226",2024-02-22 23:23:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84228",2024-02-22 23:23:47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"84229",2024-02-22 23:23:48,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"84234",2024-02-22 23:23:53,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"84235",2024-02-22 23:23:54,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA
"84237",2024-02-22 23:23:56,NA,NA,NA,NA,NA,0,NA,0.09,NA,NA
"84238",2024-02-22 23:23:57,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"84239",2024-02-22 23:23:58,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA
"84280",2024-02-22 23:24:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"84346",2024-02-22 23:25:45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84348",2024-02-22 23:25:47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"84349",2024-02-22 23:25:48,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"84354",2024-02-22 23:25:53,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"84355",2024-02-22 23:25:54,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA
"84357",2024-02-22 23:25:56,NA,NA,NA,NA,NA,0,NA,0.05,NA,NA
